sub,lang,layer,mean_r,top10_r,pos_frac
sub-EN057,EN,L01,-0.007773844240647223,0.01971850073378947,0.5
sub-EN057,EN,L05,-0.025314196444082036,-0.008056849913878573,0.0
sub-EN057,EN,L09,-0.027491025109257966,0.006207826029923227,0.16666666666666666
sub-EN057,EN,L13,0.01051901160152974,0.03488192458947499,0.6666666666666666
sub-EN057,EN,L17,0.03587857106079658,0.07057317511902915,0.8333333333333334
sub-EN057,EN,L21,0.03489451800231581,0.05103748736696111,0.8333333333333334
sub-EN057,EN,L25,0.02338380846022456,0.04648349806666374,0.8333333333333334
sub-EN057,EN,L29,0.014006187414957419,0.039619336525599166,0.6666666666666666
sub-EN057,EN,L32,0.02349813944763608,0.06319492330981626,0.8333333333333334
sub-EN058,EN,L01,-0.020773553151499344,0.025014947892891035,0.3333333333333333
sub-EN058,EN,L05,0.009071049625398933,0.05718453839007351,0.5
sub-EN058,EN,L09,0.02962695055261806,0.05995487949500482,0.6666666666666666
sub-EN058,EN,L13,0.013055414944473242,0.04516422143206,0.5
sub-EN058,EN,L17,0.024914684291515086,0.0896703311138683,0.6666666666666666
sub-EN058,EN,L21,0.02568534382239536,0.05950731846193472,0.6666666666666666
sub-EN058,EN,L25,0.048178194866826125,0.07025707285437319,0.8333333333333334
sub-EN058,EN,L29,0.015852476987573833,0.07069764658808708,0.5
sub-EN058,EN,L32,0.0027829535236513175,0.03512046755188041,0.5
sub-EN059,EN,L01,0.020883782508058682,0.044115501973364085,0.8333333333333334
sub-EN059,EN,L05,0.04030576986433179,0.06720815531702505,0.8333333333333334
sub-EN059,EN,L09,0.034674306589834114,0.07302371246947183,1.0
sub-EN059,EN,L13,0.03997791694753148,0.0687268705935114,0.8333333333333334
sub-EN059,EN,L17,0.026712121597180765,0.05747042498033908,0.8333333333333334
sub-EN059,EN,L21,0.060812371093089936,0.10661911788500017,0.8333333333333334
sub-EN059,EN,L25,0.06992752967333352,0.11515318602323532,0.8333333333333334
sub-EN059,EN,L29,0.03529459850310728,0.07174516241583559,0.8333333333333334
sub-EN059,EN,L32,0.03220864683734597,0.07843415190776189,0.8333333333333334
sub-EN061,EN,L01,0.03303267342831801,0.051514571222166225,1.0
sub-EN061,EN,L05,0.011221668044864028,0.052994473112954035,0.5
sub-EN061,EN,L09,-0.009979219641536476,0.007815369094411533,0.3333333333333333
sub-EN061,EN,L13,0.0025327003009065433,0.017448758551230032,0.5
sub-EN061,EN,L17,0.009614848169601627,0.04505763502998485,0.5
sub-EN061,EN,L21,-0.009368574884892613,0.03023987796364559,0.3333333333333333
sub-EN061,EN,L25,-0.020023756419067024,0.029236883442435,0.3333333333333333
sub-EN061,EN,L29,-0.004128434419356009,0.028155689024262957,0.5
sub-EN061,EN,L32,0.006307492239607706,0.04215925311048826,0.5
sub-EN062,EN,L01,0.10711325636064566,0.1565459689332379,1.0
sub-EN062,EN,L05,0.08393831557973669,0.10962703192813529,1.0
sub-EN062,EN,L09,0.11446707362860993,0.17748457245114777,1.0
sub-EN062,EN,L13,0.0678132116380665,0.1384359560906887,0.8333333333333334
sub-EN062,EN,L17,0.06118485382413147,0.08326833664129177,1.0
sub-EN062,EN,L21,0.07819917749751497,0.11919549505950676,0.8333333333333334
sub-EN062,EN,L25,0.06028444052639383,0.09603140834305021,0.8333333333333334
sub-EN062,EN,L29,0.10472211766022226,0.15104039572179317,1.0
sub-EN062,EN,L32,0.09069852934529384,0.13233477166957325,1.0
sub-FR001,FR,L01,0.03394600257484449,0.05830467989047368,0.8333333333333334
sub-FR001,FR,L05,0.04373905028182048,0.09518847293737862,0.6666666666666666
sub-FR001,FR,L09,0.03297888679015968,0.07298551375667255,0.8333333333333334
sub-FR001,FR,L13,0.07042660729752646,0.10239587724208832,1.0
sub-FR001,FR,L17,0.04667166141034276,0.0919891931116581,1.0
sub-FR001,FR,L21,0.03916733563636188,0.06629058242672019,1.0
sub-FR001,FR,L25,0.03027501754048798,0.06798616734643778,0.8333333333333334
sub-FR001,FR,L29,0.021340717561542988,0.04551914789610439,0.8333333333333334
sub-FR001,FR,L32,0.02070255503403368,0.0476048793643713,0.8333333333333334
sub-FR002,FR,L01,-0.05251985277842592,-0.020297763144804373,0.0
sub-FR002,FR,L05,-0.008837917129750605,0.029481757225261793,0.16666666666666666
sub-FR002,FR,L09,0.036862242311515185,0.09402312400440374,0.6666666666666666
sub-FR002,FR,L13,0.053437691285378404,0.09558748914342788,1.0
sub-FR002,FR,L17,0.02377914673545294,0.05772434211232596,0.6666666666666666
sub-FR002,FR,L21,0.044805719586158234,0.08167603839602736,1.0
sub-FR002,FR,L25,0.04509227733231253,0.06931177174879445,1.0
sub-FR002,FR,L29,0.013383110812692731,0.0712863284473618,0.5
sub-FR002,FR,L32,0.011760270309255078,0.06564673072555,0.5
sub-FR003,FR,L01,0.02596344031324541,0.059214036704765424,0.8333333333333334
sub-FR003,FR,L05,0.03413028959874754,0.07302956634925471,0.8333333333333334
